Predicted,Real,day
blue,yellow,1
blue,yellow,1
yellow,yellow,1
yellow,yellow,1
yellow,yellow,1
yellow,yellow,1
yellow,brown,1
yellow,blue,1
blue,brown,2
blue,yellow,2
blue,blue,2
blue,brown,2
blue,brown,2
blue,yellow,2
blue,blue,2
blue,blue,2
blue,blue,2
blue,blue,2
blue,brown,2
blue,yellow,2
yellow,brown,2
yellow,yellow,2
yellow,yellow,2
yellow,yellow,2
yellow,yellow,2
yellow,yellow,2
yellow,yellow,2
yellow,blue,2
yellow,blue,2
yellow,blue,2
yellow,brown,2
brown,yellow,2
blue,yellow,3
blue,yellow,3
blue,yellow,3
blue,brown,3
blue,blue,3
blue,blue,3
blue,yellow,3
blue,brown,3
yellow,yellow,3
yellow,yellow,3
brown,brown,3
brown,blue,3
blue,brown,4
blue,brown,4
blue,brown,4
blue,brown,4
blue,brown,4
blue,blue,4
blue,blue,4
blue,yellow,4
yellow,yellow,4
yellow,yellow,4
yellow,yellow,4
yellow,yellow,4
yellow,yellow,4
yellow,yellow,4
yellow,brown,4
yellow,blue,4
yellow,blue,4
brown,brown,4
brown,brown,4
brown,blue,4
brown,blue,4
blue,brown,5
blue,brown,5
blue,brown,5
blue,brown,5
blue,blue,5
blue,blue,5
yellow,yellow,5
yellow,yellow,5
yellow,yellow,5
yellow,yellow,5
yellow,brown,5
yellow,brown,5
yellow,blue,5
brown,brown,5
brown,brown,5
brown,brown,5
brown,brown,5
brown,brown,5
brown,brown,5
brown,blue,5
brown,blue,5
brown,blue,5
brown,yellow,5
brown,yellow,5
